timestamp,fraud_model_rps,cache_hit_rate,p99_latency_seconds,auth_success_rate
2026-09-17T13:30:00Z,94.7,0.785,0.55,1.0000
2026-09-17T13:31:00Z,96.9,0.786,0.54,1.0000
2026-09-17T13:32:00Z,94.7,0.779,0.54,0.9963
2026-09-17T13:33:00Z,98.2,0.781,0.54,1.0000
2026-09-17T13:34:00Z,95.9,0.767,0.55,1.0000
2026-09-17T13:35:00Z,94.4,0.768,0.52,1.0000
2026-09-17T13:36:00Z,96.2,0.763,0.56,1.0000
2026-09-17T13:37:00Z,95.5,0.765,0.53,0.9955
2026-09-17T13:38:00Z,92.8,0.768,0.53,0.9926
2026-09-17T13:39:00Z,98.7,0.775,0.56,1.0000
2026-09-17T13:40:00Z,99.5,0.772,0.56,0.9925
2026-09-17T13:41:00Z,97.8,0.767,0.54,0.9925
2026-09-17T13:42:00Z,98.3,0.774,0.54,1.0000
2026-09-17T13:43:00Z,95.6,0.764,0.54,0.9930
2026-09-17T13:44:00Z,98.0,0.782,0.55,0.9969
2026-09-17T13:45:00Z,93.4,0.775,0.53,1.0000
2026-09-17T13:46:00Z,97.7,0.760,0.52,1.0000
2026-09-17T13:47:00Z,97.2,0.775,0.56,1.0000
2026-09-17T13:48:00Z,97.1,0.783,0.54,0.9929
2026-09-17T13:49:00Z,94.2,0.783,0.53,1.0000
2026-09-17T13:50:00Z,93.9,0.767,0.56,0.9923
2026-09-17T13:51:00Z,99.4,0.784,0.56,0.9992
2026-09-17T13:52:00Z,96.9,0.765,0.55,1.0000
2026-09-17T13:53:00Z,97.4,0.784,0.53,0.9985
2026-09-17T13:54:00Z,94.3,0.775,0.55,1.0000
2026-09-17T13:55:00Z,97.0,0.786,0.53,0.9934
2026-09-17T13:56:00Z,93.2,0.757,0.55,0.9929
2026-09-17T13:57:00Z,99.9,0.765,0.55,1.0000
2026-09-17T13:58:00Z,96.8,0.766,0.54,1.0000
2026-09-17T13:59:00Z,99.5,0.772,0.52,0.9929
2026-09-17T14:00:00Z,95.8,0.777,0.54,0.9967
2026-09-17T14:01:00Z,99.6,0.778,0.54,1.0000
2026-09-17T14:02:00Z,93.2,0.760,0.53,1.0000
2026-09-17T14:03:00Z,451.5,0.514,3.21,0.8976
2026-09-17T14:04:00Z,645.4,0.348,5.09,0.8333
2026-09-17T14:05:00Z,814.2,0.237,6.28,0.7892
2026-09-17T14:06:00Z,912.3,0.158,6.80,0.7643
2026-09-17T14:07:00Z,978.8,0.104,7.16,0.7419
2026-09-17T14:08:00Z,1033.9,0.071,7.70,0.7410
2026-09-17T14:09:00Z,1064.9,0.047,8.03,0.7298
2026-09-17T14:10:00Z,1077.5,0.032,8.24,0.7160
2026-09-17T14:11:00Z,1117.8,0.021,8.29,0.7130
2026-09-17T14:12:00Z,1138.6,0.014,8.50,0.7078
2026-09-17T14:13:00Z,1076.0,0.009,8.50,0.7108
2026-09-17T14:14:00Z,1153.2,0.006,8.39,0.7167
2026-09-17T14:15:00Z,1098.5,0.004,8.15,0.7163
2026-09-17T14:16:00Z,1138.7,0.003,8.21,0.7032
2026-09-17T14:17:00Z,1160.9,0.002,8.47,0.7087
2026-09-17T14:18:00Z,1094.3,0.001,8.62,0.7098
2026-09-17T14:19:00Z,1099.2,0.001,8.52,0.7030
2026-09-17T14:20:00Z,1127.3,0.001,8.34,0.7099
2026-09-17T14:21:00Z,1105.1,0.000,8.65,0.7026
2026-09-17T14:22:00Z,1140.1,0.000,8.77,0.7073
2026-09-17T14:23:00Z,1154.2,0.000,8.54,0.7047
2026-09-17T14:24:00Z,1146.6,0.000,8.42,0.7078
2026-09-17T14:25:00Z,1112.7,0.000,8.25,0.7086
2026-09-17T14:26:00Z,1111.6,0.000,8.79,0.7031
2026-09-17T14:27:00Z,1116.8,0.000,8.35,0.7141
2026-09-17T14:28:00Z,1116.1,0.000,8.62,0.7013
2026-09-17T14:29:00Z,1079.1,0.000,8.38,0.7120
2026-09-17T14:30:00Z,1130.4,0.000,8.64,0.7132
2026-09-17T14:31:00Z,1085.5,0.000,8.41,0.7014
2026-09-17T14:32:00Z,1082.8,0.000,8.45,0.7121
2026-09-17T14:33:00Z,1143.9,0.000,8.25,0.7039
2026-09-17T14:34:00Z,1148.4,0.000,8.70,0.7122
2026-09-17T14:35:00Z,1093.7,0.000,8.46,0.7111
2026-09-17T14:36:00Z,1106.6,0.000,8.44,0.7116
2026-09-17T14:37:00Z,1085.0,0.000,8.81,0.7136
2026-09-17T14:38:00Z,1090.3,0.000,8.76,0.7126
2026-09-17T14:39:00Z,1118.7,0.000,8.50,0.7044
2026-09-17T14:40:00Z,1164.3,0.000,8.59,0.7066
